year,rank,title,film,singers
1981,6,Tum Tum Tararara Chana Jor Garam,Kranti,Nitin Mukesh; Mohammed Rafi; Lata Mangeshkar; Kishore Kumar
1981,7,Mere Jeevan Saathi Pyar Kiye Ja,Ek Duuje Ke Liye,Anuradha Paudwal; S.P. Balasubrahmanyam
1981,8,Dekho Maine Dekha Hai Ek Sapna,Love Story,Amit Kumar; Lata Mangeshkar
1981,9,John Jani Janardan,Naseeb,Mohammed Rafi
1981,10,Hari Om Hari,Pyara Dushman,Usha Uthup
1981,11,Ek Rasta Do Rahi,Ram Balram,Kishore Kumar; Mohammed Rafi
1981,12,Dekha Ek Khwab To Ye Silsile Hue,Silsila,Kishore Kumar; Lata Mangeshkar
1981,13,Yamma Yamma Ye Khoobsurat Samaan,Shaan,Mohammed Rafi; R.D. Burman
1981,14,Dosto Se Pyar Kiya,Shaan,Usha Uthup
1981,15,Chal Chameli Baag Mein,Krodhi,Lata Mangeshkar; Suresh Wadkar
1981,16,Pyar Karne Wale Pyar Karte Hain Shaan Se,Shaan,Asha Bhosle; Pankaj Udhas
1981,17,Apni To Jaise Taise,Laawaris,Kishore Kumar
1981,18,Na Jaane Kya Hua Jo Tune Chhu Liya,Dard,Lata Mangeshkar
1981,19,Disco Deewane,Disco Deewane,Nazia Hassan
1981,20,Rambha Ho Ho,Armaan,Usha Uthup
1981,21,Aa Dekhen Zara Kisme Kitna Hai Dum,Rocky,Asha Bhosle; Kishore Kumar; R.D. Burman
1981,22,Tu Is Tarah Se Meri Zindagi Mein Shamil Hai,Aap To Aise Na The,Mohammed Rafi
1981,23,Yakbayak Koi Kahin Mil Jaata Hai,Katilon Ka Katil,Kishore Kumar; Asha Bhosle
1981,24,Aao Na Pyar Karein,Disco Deewane,Nazia Hassan
1981,25,Looie Shama Sha,Kranti,Nitin Mukesh; Lata Mangeshkar
1981,26,Mere Dost Kissa Ye Kya Ho Gaya,Dostana,Mohammed Rafi
1981,27,Aate Jaate Hue Main Sab Pe Nazar Rakhta Hoon,Shaan,Mohammed Rafi
1981,28,Waqt Se Pehle Kismat Se Zyada,Biwi O Biwi,Kishore Kumar
1981,29,Mere Naseeb Mein Tu Hai Ke Nahin,Naseeb,Lata Mangeshkar
1981,30,Kitne Bhi Tu Kar Le Sitam,Sanam Teri Kasam,Asha Bhosle; Kishore Kumar
1981,31,Hum Bane Tum Bane Ek Duje Ke Liye,Ek Duuje Ke Liye,S.P. Balasubrahmanyam; Lata Mangeshkar
1982,1,Angrezi Mein Kehte Hain Ki I Love You,Khuddaar,Kishore Kumar; Lata Mangeshkar
1982,2,Zindagi Aa Raha Hoon Main,Mashaal,Kishore Kumar
1982,3,Rambha Ho Ho Main Naachu Tum Naacho,Armaan,Usha Uthup
1982,4,Kitne Bhi Tu Kar Le Sitam,Sanam Teri Kasam,Asha Bhosle; Kishore Kumar
1982,5,Main Hoon Prem Rogi,Prem Rog,Lata Mangeshkar; Suresh Wadkar
1982,6,Bolo Bolo Kuch To Bolo,Zamaane Ko Dikhana Hai,Mohammed Rafi; Asha Bhosle
1982,7,O Raju O Daddy,Ek Hi Bhool,S.P. Balasubrahmanyam
1982,8,Dil Cheez Kya Hai Aap Meri Jaan Lijiye,Umrao Jaan,Asha Bhosle
1982,9,Jaanan O Meri Jaanan,Sanam Teri Kasam,R.D. Burman
1982,10,Mohabbat Hai Kya Cheez,Prem Rog,Lata Mangeshkar; Suresh Wadkar
1982,11,Pyar Ka Wada Fifty Fifty,Fifty Fifty,Kishore Kumar; Asha Bhosle
1982,12,Ye Gotedar Lehenga,Dharam Kanta,Mohammed Rafi; Asha Bhosle
1982,13,Main Tum Mein Sama Jaun,Raaste Pyar Ke,Lata Mangeshkar; S.P. Balasubrahmanyam
1982,14,Chhod Maza Haath,Fifty Fifty,Asha Bhosle; Amit Kumar
1982,15,Dil Bole Boom Boom,Star,Nazia Hassan
1982,16,Dil Lena Khel Hai Dildar Ka,Zamaane Ko Dikhana Hai,R.D. Burman
1982,17,Dukki Pe Dukki Ho Ya Satte Pe Satta,Satte Pe Satta,Kishore Kumar; Asha Bhosle; R.D. Burman; Bhupinder Singh
1982,18,Main Ek Disco Tu Ek Disco,Khuddaar,Kishore Kumar; Lata Mangeshkar
1982,19,Ari O Potti,Desh Premee,Asha Bhosle; Kishore Kumar
1982,20,Ye Din To Aata Hai Ek Din Jawani Mein,Mahaan,Asha Bhosle; R.D. Burman
1982,21,Apne Apne Miyaan Pe Sabko Bada Naaz Hai,Apna Bana Lo,Asha Bhosle
1982,22,Oye Oye Chori Chori Baatein Ho,Star,Zoheb Hassan
1982,23,Mere Mehboob Tujhe Salaam,Baghawat,Asha Bhosle; Mohammed Rafi
1982,24,Ye Zameen Ga Rahi Hai Aasman Ga Raha Hai,Teri Kasam,Amit Kumar
1982,25,Pyar Mein Dil Pe,Mahaan,Kishore Kumar; Asha Bhosle
1982,26,Jab Se Tumko Dekha,Kaalia,Asha Bhosle; Kishore Kumar
1982,27,Sara Din Sataate Ho Raaton Ko Jagaate Ho,Raaste Pyar Ke,Asha Bhosle; Kishore Kumar
1982,28,Saat Saheliyan Khadi Khadi,Vidhaata,Kishore Kumar; Anuradha Paudwal; Alka Yagnik; Hemlata; Kanchan; Sadhana Sargam
1982,29,Jahan Teri Ye Nazar Hai,Kaalia,Kishore Kumar
1982,30,Mere Dildaar Ka Baankpan,Deedar-E-Yaar,Kishore Kumar; Mohammed Rafi
1983,1,Shaayad Meri Shaadi Ka Khayaal Dil Mein Aaya Hai,Souten,Lata Mangeshkar; Kishore Kumar
1983,2,Dil Ki Ye Aarzoo Thi Koi Dilruba Mile,Nikaah,Mahendra Kapoor; Salma Agha
1983,3,Dil Ke Armaan Aansuon Mein Bah Gaye,Nikaah,Salma Agha
1983,4,Jab Hum Jawan Honge,Betaab,Lata Mangeshkar; Shabbir Kumar
1983,5,Nainon Mein Sapna Sapnon Mein Sajna,Himmatwala,Kishore Kumar; Lata Mangeshkar
1983,6,Saat Saheliyan Khadi Khadi,Vidhaata,Kishore Kumar; Anuradha Paudwal; Alka Yagnik; Hemlata; Kanchan; Sadhana Sargam
1983,7,Ae Dil-E-Nadan,Razia Sultan,Lata Mangeshkar
1983,8,I Am A Disco Dancer,Disco Dancer,Vijay Benedict
1983,9,Udi Baba Udi Baba,Vidhaata,Asha Bhosle
1983,10,Tujh Sang Preet Lagai Sajna,Kaamchor,Lata Mangeshkar; Kishore Kumar
1983,11,Lakdi Ki Kaathi,Masoom,Gauri Bapat; Gurpreet Kaur; Vanita Mishra
1983,12,Meri Kismat Mein Tu Nahin Shayad,Prem Rog,Suresh Wadkar; Lata Mangeshkar
1983,13,Zindagi Pyar Ka Geet Hai,Souten,Kishore Kumar
1983,14,Zamana To Hai Naukar Biwi Ka,Naukar Biwi Ka,Kishore Kumar
1983,15,Taki O Taki,Himmatwala,Asha Bhosle; Kishore Kumar
1983,16,Zamane Mein Sabse Purani,Lovers,Lata Mangeshkar; Amit Kumar
1983,17,Yaad Teri Aayegi Mujhko Bada Satayegi,Ek Jaan Hain Hum,Shabbir Kumar
1983,18,Sajna Sun Sun Meri Chaabi,Rishta Kagaz Ka,Lata Mangeshkar
1983,19,Likhne Wale Ne Likh Daale,Arpan,Lata Mangeshkar; Suresh Wadkar
1983,20,Jimmy Jimmy Aaja Aaja,Disco Dancer,Parvati Khan
1983,21,Humka Le Chal Yara,Painter Babu,Lata Mangeshkar; Mahendra Kapoor
1983,22,Humne Sanam Ko Khat Likha,Shakti,Lata Mangeshkar
1983,23,Mama Mia Pom Pom,Justice Chaudhury,Asha Bhosle; Kishore Kumar
1983,24,Zindagi Mauj Udane Ka Naam Hai,Avtaar,Alka Yagnik; Mahendra Kapoor; Suresh Wadkar
1983,25,Yaar Ladki Shaandaar Hai,Painter Babu,Bhupinder Singh; Mahendra Kapoor
1983,26,Jawani Jawani Jalti Jawani,Jaani Dost,Asha Bhosle; Kishore Kumar
