year,rank,title,film,singers
1953,1,Ye Zindagi Usi Ki Hai,Anarkali,Lata Mangeshkar
1953,2,Shaam-E-Gham Ki Kasam,Footpath,Talat Mahmood
1953,3,Mohabbat Ki Daastaan Aaj Suno,Mayur Pankh,Lata Mangeshkar
1953,4,Ae Gam-E-Dil Kya Karun,Thokar,Talat Mahmood
1953,5,Yaad Kiya Dil Ne Kahan Ho Tum,Patita,Lata Mangeshkar; Hemant Kumar
1953,6,Zindagi Denewale Sun,Dil-E-Nadan,Talat Mahmood
1953,7,Aaja Re Ab Mera Dil Pukara,Aah,Lata Mangeshkar; Mukesh
1953,8,Ai Pyar Teri Duniya Se Ham,Jhanjhar,Lata Mangeshkar
1953,9,Dharti Kahe Pukar Ke,Do Bigha Zamin,Lata Mangeshkar; Manna Dey
1953,10,Kaare Badra Tu Na Ja,Shikast,Lata Mangeshkar
1953,11,Aa Mohabbat Ki Basti Basayenge Hum,Fareb,Kishore Kumar; Lata Mangeshkar
1953,12,Kahe Jaadu Kiya,Naghma,Shamshad Begum
1954,1,Jayen To Jayen Kahan,Taxi Driver,Talat Mahmood
1954,2,Man Dole Mera Tan Dole,Nagin,Lata Mangeshkar
1954,3,Yeh Lo Main Hari Piya,Aar Paar,Geeta Dutt
1954,4,Insaaf Ka Mandir Hai Yeh,Amar,Mohammed Rafi
1954,5,Rahi Matwale,Waris,Talat Mahmood; Suraiya
1954,6,Chanda Mama Door Ke,Vachan,Asha Bhosle
1954,7,Man Ki Been Matwari Baaje,Shabab,Mohammed Rafi; Lata Mangeshkar
1954,8,Kaise Koi Jiye,Baadbaan,Geeta Dutt
1954,9,Chhota Sa Ghar Hoga,Naukri,Kishore Kumar; Usha Mangeshkar
1954,10,Na Yeh Chand Hoga,Shart,Hemant Kumar
1955,1,Mera Joota Hai Japani,Shree 420,Mukesh
1955,2,Mera Salaam Le Ja,Uran Khatola,Lata Mangeshkar
1955,3,Man Dole Mera Tan Dole,Nagin,Lata Mangeshkar
1955,4,O Door Ke Musafir,Uran Khatola,Mohammed Rafi
1955,5,Ichak Dana Bichak Dana,Shree 420,Mukesh; Lata Mangeshkar
1955,6,Dekh Tere Sansar Ki Halat,Nastik,Kavi Pradeep
1955,7,Mera Dil Yeh Pukare Aaja,Nagin,Lata Mangeshkar
1955,8,De Di Hame Azadi,Jagriti,Asha Bhosle
1955,9,Jeevan Ke Safar Mein Rahi,Munimji,Kishore Kumar
1955,10,Chalo Chalen Maa,Jagriti,Asha Bhosle
1955,11,More Saiyan Ji Utrenge Paar,Uran Khatola,Lata Mangeshkar
1955,12,Hai Bas Ke Har Ek Unke Ishaare,Mirza Ghalib,Mohammed Rafi
1955,16,Udhar Tum Haseen Ho,Mr. & Mrs. 55,Mohammed Rafi; Geeta Dutt
1956,1,Ae Dil Hai Mushkil Jeena Yahan,C.I.D.,Mohammed Rafi; Geeta Dutt
1956,2,Nain So Nain Nahi Milao,Jhanak Jhanak Payal Baaje,Hemant Kumar; Lata Mangeshkar
1956,3,Tu Pyar Ka Sagar Hai,Seema,Manna Dey
1956,4,Nirbal Se Ladai Balwan Ki,Toofan Aur Diya,Manna Dey
1956,5,Ae Dil Mujhe Bata De,Bhai Bhai,Geeta Dutt
1956,6,Leke Pehla Pehla Pyar,C.I.D.,Mohammed Rafi; Shamshad Begum; Asha Bhosle
1956,7,Halke Halke Chalo Sanwre,Tangewali,Hemant Kumar; Lata Mangeshkar
1956,8,Kaise Aaoon Jamuna Ke Teer,Devta,Lata Mangeshkar
1956,9,Aankhon Hi Aankhon Mein,C.I.D.,Mohammed Rafi; Geeta Dutt
1956,10,Piya Piya Piya Mora Jiya Pukare,Baap Re Baap,Kishore Kumar; Asha Bhosle
1956,12,Dil Dil Se Mila Kar Dekho,Mem Sahib,Kishore Kumar
1956,15,Zindagi Khwab Hai,Jagte Raho,Mukesh
1956,16,Aaja Sanam Madhur Chandni,Chori Chori,Manna Dey; Lata Mangeshkar
1957,1,Zara Samne To Aao Chhaliye,Janam Janam Ke Phere,Mohammed Rafi; Lata Mangeshkar
1957,2,Sar Jo Tera Chakraye,Pyaasa,Mohammed Rafi
1957,4,Panchhi Banu Udti Phiroon,Chori Chori,Lata Mangeshkar
1957,5,Aankhon Mein Kya Ji,Nau Do Gyarah,Kishore Kumar; Asha Bhosle
1957,6,Chhod Do Aanchal,Paying Guest,Kishore Kumar; Asha Bhosle
1957,7,O Raat Ke Musafir,Miss Mary,Mohammed Rafi; Lata Mangeshkar
1957,9,Mana Janab Ne Pukara Nahin,Paying Guest,Kishore Kumar
1957,13,Nain Mile Chain Kahan,Basant Bahar,Manna Dey; Lata Mangeshkar
1957,14,Eena Meena Deeka,Aasha,Asha Bhosle
1957,15,Maang Ke Saath Tumhara,Naya Daur,Mohammed Rafi; Asha Bhosle
1957,16,Main Bambai Ka Babu,Naya Daur,Mohammed Rafi
1957,17,Nakhrewaali,New Delhi,Kishore Kumar
1957,18,Chhup Gaya Koi Re,Champakali,Lata Mangeshkar
1957,19,Uden Jab Jab Zulfen Teri,Naya Daur,Mohammed Rafi; Asha Bhosle
1957,21,Badi Der Bhayi,Basant Bahar,Mohammed Rafi
1957,22,Thandi Thandi Hawa,Johnny Walker,Asha Bhosle; Geeta Dutt
1957,23,Haye Haye Yeh Nigahen,Paying Guest,Kishore Kumar; Asha Bhosle
1957,24,Ae Meri Topi Palat Ke Aa,Funtoosh,Kishore Kumar
1957,25,Yeh Raat Bheegi Bheegi,Chori Chori,Manna Dey; Lata Mangeshkar
1957,26,Kali Ke Roop Mein,Nau Do Gyarah,Mohammed Rafi; Asha Bhosle
1957,29,Yeh Mard Bade Dil Sard Bade,Miss Mary,Lata Mangeshkar
1957,30,Jane Kya Toone Kahi,Pyaasa,Geeta Dutt
1957,31,Choon Choon Karti Aayi Chidiya,Ab Dilli Door Nahin,Mohammed Rafi
1957,32,Din Albele Pyar Ka Mausam,Begunah,Manna Dey; Lata Mangeshkar
1957,33,Reshmi Salwar Kurta Jaali Ka,Naya Daur,Asha Bhosle; Shamshad Begum
1957,34,Jaago Mohan Pyare,Jagte Raho,Lata Mangeshkar
1958,1,Hai Apna Dil To Awara,Solva Saal,Hemant Kumar
1958,3,Bol Ri Kathputli,Kathputli,Lata Mangeshkar
1958,4,Meri Jaan Meri Jaan,Yahudi,Lata Mangeshkar
1958,5,Suhana Safar Aur Yeh Mausam,Madhumati,Mukesh
1958,6,Tera Teer O Bepeer,Shararat,Lata Mangeshkar
1958,7,Yeh Mera Deewanapan Hai,Yahudi,Mukesh
1958,8,Chal Ud Ja Re Panchhi,Bhabhi,Mohammed Rafi
1958,9,Chali Chali Re Patang,Bhabhi,Mohammed Rafi; Lata Mangeshkar
1958,10,Yoon To Hamne Laakh Haseen,Tumsa Nahin Dekha,Mohammed Rafi
1958,12,Duniya Mein Hum Aaye Hain To,Mother India,Lata Mangeshkar; Meena Mangeshkar; Usha Mangeshkar
1958,13,Nagri Nagri Dware Dware,Mother India,Lata Mangeshkar
1958,14,Sar Par Topi Laal,Tumsa Nahin Dekha,Mohammed Rafi; Asha Bhosle
1958,15,Eent Ki Dukki Paan Ka Ikka,Howrah Bridge,Mohammed Rafi
1958,16,Bakkad Bum Bum Baaje Damroo,Kathputli,Lata Mangeshkar
1958,17,Pyar Par Bas To Nahin Hai,Sone Ki Chidiya,Talat Mahmood; Asha Bhosle
1958,18,Ek Pardesi Mera Dil Le Gaya,Phagun,Mohammed Rafi; Asha Bhosle
1958,20,Ae Malik Tere Bande Hum,Do Aankhen Barah Haath,Lata Mangeshkar
1958,23,Tim Tim Tim Taron Ke Deep Jale,Mausi,Talat Mahmood; Lata Mangeshkar
1958,27,Sari Sari Raat Teri Yaad Sataye,Aji Bas Shukriya,Lata Mangeshkar
1958,29,Aaja Re Pardesi,Madhumati,Lata Mangeshkar
1958,31,Manzil Wohi Hai Pyar Ki,Kathputli,Subir Sen
1958,32,Hum Matwale Naujawan,Shararat,Kishore Kumar
1959,1,Haal Kaisa Hai Janab Ka,Chalti Ka Naam Gaadi,Kishore Kumar; Asha Bhosle
1959,2,Mujhko Yaron Maaf Karna,Main Nashe Mein Hoon,Mukesh
1959,3,Sab Kuchh Seekha Hamne,Anari,Mukesh
1959,4,Woh Chand Khila,Anari,Mukesh; Lata Mangeshkar
1959,5,Hum Bekhudi Mein Tumko,Kala Pani,Mohammed Rafi
1959,6,Aa Laut Ke Aaja Mere Meet,Rani Roopmati,Mukesh
1959,7,Jhoomta Mausam Mast Maheena,Ujala,Manna Dey; Lata Mangeshkar
1959,8,Main Rangeela Pyar Ka Rahi,Chhoti Bahen,Subir Sen; Lata Mangeshkar
1959,10,Ruk Ja Ruk Ja O Janewali,Kanhaiya,Mukesh
1959,12,Ek Ladki Bheegi Bhagi Si,Chalti Ka Naam Gaadi,Kishore Kumar
1959,13,Dekh Hame Awaz Na Dena,Amar Deep,Mohammed Rafi; Asha Bhosle
1959,15,Tim Tim Karte Tare,Chirag Kahan Roshni Kahan,Lata Mangeshkar
1959,17,Jalte Hain Jiske Liye,Sujata,Talat Mahmood
1959,18,Mujhe Tumse Kuchh Bhi Na,Kanhaiya,Mukesh
1959,19,Tera Jalwa Jisne Dekha,Ujala,Lata Mangeshkar
1959,21,Chand Sa Mukhda,Insan Jag Utha,Mohammed Rafi; Asha Bhosle
1959,22,Ban Ke Panchhi Gayen,Anari,Lata Mangeshkar
1959,24,Bhaiya Meri Rakhi Ke Bandhan,Chhoti Bahen,Lata Mangeshkar
1959,25,Kehdo Koi Na Kare Yahan Pyar,Goonj Uthi Shehnai,Mohammed Rafi
1959,26,Babu Samjho Ishare,Chalti Ka Naam Gaadi,Kishore Kumar; Ashok Kumar; Manna Dey
1959,28,Dil Deke Dekho,Dil Deke Dekho,Mohammed Rafi; Asha Bhosle
1959,29,Chad Gayo Papi Bichua,Madhumati,Manna Dey; Lata Mangeshkar
1959,31,Bachpan Ke Din Bhi Kya Din The,Sujata,Geeta Dutt; Asha Bhosle
1959,32,Ho Mora Nadan Balma,Ujala,Lata Mangeshkar
1960,1,Zindagi Bhar Nahin Bhoolegi,Barsaat Ki Raat,Mohammed Rafi
1960,2,Chaudhvin Ka Chand Ho,Chaudhvin Ka Chand,Mohammed Rafi
1960,3,Mujhko Is Raat Ki Tanhai Mein,Dil Bhi Tera Hum Bhi Tere,Mukesh
1960,4,Pyar Kiya To Darna Kya,Mughal-E-Azam,Lata Mangeshkar
1960,5,Chal Ri Sajni,Bambai Ka Babu,Mukesh
1960,6,Dil Apna Aur Preet Parai,Dil Apna Aur Preet Parai,Lata Mangeshkar
1960,7,Tere Pyar Ka Asra,Dhool Ka Phool,Mahendra Kapoor; Lata Mangeshkar
1960,8,Mohabbat Ki Jhooti Kahani,Mughal-E-Azam,Lata Mangeshkar
1960,9,Chhalia Mera Naam,Chhalia,Mukesh
1960,10,Tu Hai Harjai To,Tu Nahin Aur Sahi,Mukesh
1960,11,Tadpaoge Tadpa Lo,Barkha,Lata Mangeshkar
1960,12,Mera Dil Ab Tera O Sajna,Dil Apna Aur Preet Parai,Lata Mangeshkar
1960,13,Dum Dum Diga Diga,Chhalia,Mukesh
1960,14,Aadha Hai Chandrama,Navrang,Mahendra Kapoor; Asha Bhosle
1960,15,Khoya Khoya Chand,Kala Bazar,Mohammed Rafi
1960,16,Tumhe Yaad Hoga,Satta Bazaar,Hemant Kumar; Lata Mangeshkar
1960,17,O Sajna Barkha Bahar Aayi,Parakh,Lata Mangeshkar
1960,18,Shishe Dil Itna Na Uchhalo,Dil Apna Aur Preet Parai,Lata Mangeshkar
1960,19,Yaad Aa Gayi Woh Nasheeli,Manzil,Hemant Kumar
1960,20,Matwali Naar Thumak Thumak,Ek Phool Char Kante,Mukesh
1960,21,Bolo Bolo Kuchh To Bolo,Dil Deke Dekho,Mohammed Rafi
1960,22,Dhadakne Lagi Dil Ke Taron,Dhool Ka Phool,Mahendra Kapoor; Asha Bhosle
1960,23,Mili Khak Mein Mohabbat,Chaudhvin Ka Chand,Mohammed Rafi
1960,24,Ajeeb Dastan Hai Yeh,Dil Apna Aur Preet Parai,Lata Mangeshkar
1960,26,Yeh Sheher Bada Albela,Singapore,Mukesh
1960,27,Mohe Panghat Pe Nandlal,Mughal-E-Azam,Lata Mangeshkar
1960,29,Dil Lootne Wale Jadugar,Madari,Mukesh; Lata Mangeshkar
1960,30,Bade Hain Dil Ke Kale,Dil Deke Dekho,Mohammed Rafi; Asha Bhosle
1960,31,Mere Toote Huye Dil Se,Chhalia,Mukesh
1960,32,Apni To Har Aah Ek Toofan Hai,Kala Bazar,Mohammed Rafi
1961,1,Teri Pyari Pyari Surat Ko,Sasural,Mohammed Rafi
1961,1,Ehsaan Tera Hoga Mujh Par,Junglee,Mohammed Rafi
1961,2,Abhi Na Jao Chhod Kar,Hum Dono,Mohammed Rafi; Asha Bhosle
1961,2,Do Hanson Ka Joda Bichhad Gayo Re,Ganga Jumna,Lata Mangeshkar
1961,3,Ho Maine Pyar Kiya,Jis Desh Mein Ganga Behti Hai,Lata Mangeshkar
1961,4,Mera Naam Raju Gharana Anam,Jis Desh Mein Ganga Behti Hai,Mukesh
1961,5,Matwali Aankhon Wale,Chhote Nawab,Lata Mangeshkar; Mohammed Rafi
1961,5,Yahoo Chahe Koi Mujhe Junglee Kahe,Junglee,Mohammed Rafi
1961,6,Dil Mera Ek Aas Ka Panchhi,Aas Ka Panchhi,Subir Sen
1961,7,Ek Sawal Main Karun,Sasural,Lata Mangeshkar; Mohammed Rafi
1961,7,Teri Zulfon Se Judai,Jab Pyar Kisi Se Hota Hai,Mohammed Rafi
1961,8,Jiya O Jiya Kuchh Bol Do,Jab Pyar Kisi Se Hota Hai,Mohammed Rafi
1961,9,Saranga Teri Yaad Mein,Saranga,Mukesh
1961,9,Dhundho Dhundho Re Sajna,Ganga Jumna,Lata Mangeshkar; Mohammed Rafi
1961,10,Husn Wale Tera Jawab Nahin,Gharana,Mohammed Rafi
1961,11,Hothon Pe Sachai Rehti Hai,Jis Desh Mein Ganga Behti Hai,Mukesh
1961,12,Kabhi Khud Pe Kabhi Halaat Pe,Hum Dono,Mohammed Rafi
1961,13,Itna Na Mujhse Tu Pyar Badha,Chhaya,Lata Mangeshkar; Talat Mahmood
1961,14,Main Khushnaseeb Hoon,Tower House,Lata Mangeshkar; Mukesh
1961,15,Madhuban Mein Radhika Nache,Kohinoor,Mohammed Rafi
1961,16,Begani Shadi Mein Abdulla Deewana,Jis Desh Mein Ganga Behti Hai,Lata Mangeshkar; Mukesh
1961,17,Dekho Ji Dekho Sun Lo Ye Baat,Singapore,Lata Mangeshkar
1961,18,Tasveer Teri Dil Mein,Maya,Lata Mangeshkar; Mohammed Rafi
1961,19,Bikhara Ke Zulfen Chaman Mein Na Jana,Nazrana,Lata Mangeshkar; Mukesh
1961,20,Haan Deewana Hoon Main,Saranga,Mukesh
1961,21,Tum Roothi Raho Main Manata Rahun,Aas Ka Panchhi,Lata Mangeshkar; Mukesh
1961,22,Neeli Neeli Ghata O Bheegi Bheegi Hawa,Hum Hindustani,Asha Bhosle; Mukesh
1961,24,Do Sitaron Ka Zameen Par Hai Milan,Kohinoor,Lata Mangeshkar; Mohammed Rafi
1961,25,Teri Duniya Se Door,Zabak,Lata Mangeshkar; Mohammed Rafi
1961,28,Hume Kash Tumse Mohabbat Na Hoti,Mughal-E-Azam,Lata Mangeshkar
1961,29,Ek Pyasa Tujhe Maikhana Diye Jata Hai,Nazrana,Mohammed Rafi
1961,30,Dadi Amma Dadi Amma Maan Jao,Gharana,Asha Bhosle; Kamal Barot
1961,31,O Basanti Pawan Pagal Na Ja Re,Jis Desh Mein Ganga Behti Hai,Lata Mangeshkar
1961,32,Chhodo Kal Ki Baaten,Hum Hindustani,Mukesh
1962,1,Ehsaan Tera Hoga Mujh Par,Junglee,Lata Mangeshkar
1962,1,Ehsaan Tera Hoga Mujh Par,Junglee,Mohammed Rafi
1962,2,Do Hanson Ka Joda,Ganga Jumna,Lata Mangeshkar
1962,3,Ab Kya Misal Doon,Aarti,Mohammed Rafi
1962,4,Aap Ki Nazron Ne Samjha,Anpadh,Lata Mangeshkar
1962,5,Awaz Deke Hame Tum Bulao,Professor,Lata Mangeshkar; Mohammed Rafi
1962,6,Kahin Deep Jale Kahin Dil,Bees Saal Baad,Lata Mangeshkar
1962,7,Teri Zulfon Se Judai,Jab Pyar Kisi Se Hota Hai,Mohammed Rafi
1962,8,Jiya O Jiya Kuchh Bol Do,Jab Pyar Kisi Se Hota Hai,Mohammed Rafi
1962,9,Dhundho Dhundho Re Sajna,Ganga Jumna,Lata Mangeshkar
1962,10,Ibtida-E-Ishq Mein Hum,Hariyali Aur Rasta,Mukesh; Lata Mangeshkar
1962,11,O Shama Mujhe Phoonk De,Aashiq,Mukesh; Lata Mangeshkar
1962,12,Ae Gulbadan,Professor,Mohammed Rafi
1962,12,Hai Isi Mein Pyar Ki Aabroo,Anpadh,Lata Mangeshkar
1962,13,Bhanwara Bada Nadan,Sahib Bibi Aur Ghulam,Asha Bhosle
1962,14,Main Aashiq Hoon Baharon Ka,Aashiq,Mukesh
1962,15,Bahut Shukriya Badi Meherbani,Ek Musafir Ek Hasina,Mohammed Rafi; Asha Bhosle
1962,16,Dil Todne Wale Tujhe Dil Dhundh Raha Hai,Son Of India,Lata Mangeshkar; Mohammed Rafi
1962,16,Mehndi Lagi Mere Hath Re,Mehndi Lagi Mere Haath,Lata Mangeshkar
1962,17,Tum To Dil Ke Tar Chhed Kar,Roop Ki Rani Choron Ka Raja,Talat Mahmood
1962,19,Aapne Yaad Dilaya,Aarti,Lata Mangeshkar; Mohammed Rafi
1962,20,Aaj Ki Taaza Khabar,Son Of India,Shanti Mathur
1962,20,Mujhe Dekh Kar Aap Ka Muskurana,Ek Musafir Ek Hasina,Mohammed Rafi
1962,21,Bol Meri Taqdeer Mein Kya Hai,Hariyali Aur Rasta,Lata Mangeshkar; Mukesh
1962,22,Na Tum Hame Jano Na Hum Tumhe Jane,Baat Ek Raat Ki,Hemant Kumar; Suman Kalyanpur
1962,23,Main Kaun Hoon Main Kahan Hoon,Main Chup Rahungi,Mohammed Rafi
1962,23,Kabhi Tanhaiyon Mein Hamari Yaad Aayegi,Hamari Yaad Aayegi,Mubarak Begum
1962,24,Aap Yun Hi Agar Hum Se Milte Rahe,Ek Musafir Ek Hasina,Mohammed Rafi; Asha Bhosle
1962,25,O Nirdayi Pritam,Stree,Lata Mangeshkar
1962,26,Tumhi Ho Mata Pita Tumhi Ho,Main Chup Rahungi,Lata Mangeshkar
1962,27,Zara Nazron Se Keh Do Ji Nishana,Bees Saal Baad,Hemant Kumar
1962,28,Kabhi To Milegi,Aarti,Lata Mangeshkar
1962,29,Jyoti Kalash Chhalke,Bhabhi Ki Chudiyan,Lata Mangeshkar
1962,30,Aaj Ki Raat Nahin Shikve,Dharamputra,Mahendra Kapoor
1962,31,Hasrat Hi Rahi,Bombay Ka Chor,Kishore Kumar
1962,32,Dil Ki Tamanna Thi,Gyarah Hazar Ladkiyan,Mohammed Rafi; Asha Bhosle
1963,1,Jo Wada Kiya Wo Nibhana Padega,Taj Mahal,Lata Mangeshkar; Mohammed Rafi
1963,2,Dil Ek Mandir Hai,Dil Ek Mandir,Mohammed Rafi; Suman Kalyanpur
1963,3,In Hawaon Mein In Fizaon Mein,Gumrah,Asha Bhosle; Mahendra Kapoor
1963,4,Chalo Ek Bar Phir Se,Gumrah,Mahendra Kapoor
1963,6,Hansta Hua Nurani Chehra,Parasmani,Lata Mangeshkar; Kamal Barot
1963,7,Mujhko Apne Gale Laga Lo,Hamrahi,Mohammed Rafi; Mubarak Begum
1963,8,Zindagi Kitni Khubsurat Hai,Bin Badal Barsaat,Hemant Kumar
1963,10,O Janewale Ho Sake To Laut Ke Aana,Bandini,Mukesh
1963,11,Ik Ghar Banaunga Tere Ghar Ke Samne,Tere Ghar Ke Samne,Lata Mangeshkar; Mohammed Rafi
1963,13,Tum Hi Tum Ho Mere Jeevan Mein,Ek Dil Sau Afsane,Lata Mangeshkar; Mohammed Rafi
1963,14,Bijli Gira Ke Aap Khud Bijli Se Dar Gaye,Dil Tera Deewana,Lata Mangeshkar; Mohammed Rafi
1963,15,Woh Jab Yaad Aaye Bahut Yaad Aaye,Parasmani,Lata Mangeshkar; Mohammed Rafi
1963,17,Mora Gora Ang Lai Le,Bandini,Lata Mangeshkar
1963,18,Duniya Teri Yahi Hai To,Gehra Daag,Mohammed Rafi
1963,18,Mujhe Tumse Mohabbat Hai,Bachpan,Mohammed Rafi
1963,19,Dil Jo Bhi Kahega Manenge,Dil Hi To Hai,Mukesh
1963,21,Ruk Ja Raat Thehar Ja Re Chanda,Dil Ek Mandir,Lata Mangeshkar
1963,22,Ye Wadiyan Ye Fizayen,Aaj Aur Kal,Mohammed Rafi
1963,23,Paon Chhu Lene Do Phoolon Ko,Taj Mahal,Lata Mangeshkar; Mohammed Rafi
1963,24,Mere Mehboob Tujhe,Mere Mehboob,Mohammed Rafi
1963,25,Tum Agar Mujhko Na Chaho,Dil Hi To Hai,Mukesh
1963,26,Zaroorat Hai Zaroorat Hai,Manmauji,Kishore Kumar
1963,27,Ek Dil Aur Sau Afsane,Ek Dil Sau Afsane,Lata Mangeshkar
1963,28,Laga Chunari Mein Daag,Dil Hi To Hai,Manna Dey
1963,29,Tera Mera Pyar Amar,Asli Naqli,Lata Mangeshkar
1963,30,Jurm-E-Ulfat Pe,Taj Mahal,Lata Mangeshkar
1963,30,Main Ek Nanha Sa Bachha Hoon,Harishchandra Taramati,Lata Mangeshkar
1963,31,Govinda Aala Re Aala,Bluffmaster,Mohammed Rafi
1963,32,Jane Bahar Husn Tera Bemisaal Hai,Pyar Kiya To Darna Kya,Mohammed Rafi
1964,1,Mere Man Ki Ganga Aur Tere Man Ki Jamuna,Sangam,Mukesh
1964,2,Yeh Mera Prem Patra Padhkar,Sangam,Mohammed Rafi
1964,3,Mere Mehboob Tujhe Meri Mohabbat Ki Kasam,Mere Mehboob,Mohammed Rafi
1964,4,Tumhe Aur Kya Doon Main Dil Ke Siwa,Ayee Milan Ki Bela,Lata Mangeshkar
1964,5,Tum Kamsin Ho Nadan Ho,Ayee Milan Ki Bela,Mohammed Rafi
1964,6,Mere Mehboob Qayamat Hogi,Mr. X In Bombay,Kishore Kumar
1964,7,Aaja Aai Bahar,Rajkumar,Lata Mangeshkar
1964,7,Ye Chand Sa Roshan Chehra,Kashmir Ki Kali,Mohammed Rafi
1964,9,Naina Barse Rimjhim Rimjhim,Woh Kaun Thi,Lata Mangeshkar
1964,10,Saanson Ke Tar Par,Geet Gaya Pattharon Ne,Kishori Amonkar
1964,10,Main Kya Karun Ram Mujhe Buddha Mil Gaya,Sangam,Lata Mangeshkar
1964,11,Duniya Kahati Happy Birthday To You,Door Ki Awaz,Mohammed Rafi; Asha Bhosle; Manna Dey
1964,12,Dost Dost Na Raha Pyar Pyar Na Raha,Sangam,Mukesh
1964,13,Jhoom Jhoom Dhalti Raat,Kohraa,Lata Mangeshkar
1964,14,Tere Husn Ki Kya Tarif Karun,Leader,Lata Mangeshkar; Mohammed Rafi
1964,15,Jo Hamne Dastan Apni Sunai,Woh Kaun Thi,Lata Mangeshkar
1964,16,Pyar Aankhon Se Jataya To,Ayee Milan Ki Bela,Mohammed Rafi
1964,17,Na Jhatko Zulf Se Pani,Shehnai,Mohammed Rafi
1964,18,Mujhe Duniyawalon Sharabi Na Samjho,Leader,Mohammed Rafi
1964,19,Bandaparwar Tham Lo Jigar,Phir Wohi Dil Laya Hoon,Mohammed Rafi
1964,20,Tumko Piya Dil Diya,Shikari,Lata Mangeshkar; Usha Mangeshkar
1964,21,Chahunga Main Tujhe Saanjh Sawere,Dosti,Mohammed Rafi
1964,22,Aaj Kal Mein Dhal Gaya,Beti Bete,Lata Mangeshkar; Mohammed Rafi
1964,23,Kabhi Na Kabhi Kahin Na Kahin,Sharabi,Mohammed Rafi
1964,24,Koi Jab Rah Na Paye,Dosti,Mohammed Rafi
1964,24,Agar Mujhse Mohabbat Hai,Aap Ki Parchhaiyan,Lata Mangeshkar
1964,25,April Fool Banaya,April Fool,Mohammed Rafi
1964,26,Tum Akele To Kabhi Bagh Mein,Aao Pyar Karen,Lata Mangeshkar; Mohammed Rafi
1964,26,Rahi Manwa Dukh Ki Chinta,Dosti,Mohammed Rafi
1964,27,Mujhe Kehte Hain Kallu Qawwal,Dulha Dulhan,Mukesh; Sudha Malhotra
1964,28,Hum Pyar Ka Sauda Karte Hain,Zindagi,Lata Mangeshkar
1964,29,Husn Se Chand Bhi Sharmaya Hai,Door Ki Awaz,Mohammed Rafi
1964,31,Mera Naam Rita Christina,April Fool,Lata Mangeshkar
1964,32,Aa Gale Lag Ja Mere Sapne,April Fool,Mohammed Rafi
1965,1,Jis Dil Mein Basa Tha Pyar Tera,Saheli,Mukesh
1965,1,Jis Dil Mein Basa Tha Pyar Tera,Saheli,Lata Mangeshkar
1965,2,Gata Rahe Mera Dil,Guide,Kishore Kumar; Lata Mangeshkar
1965,3,Aao Twist Karen,Bhoot Bungla,Manna Dey
1965,4,Lal Chhadi Maidan Khadi,Janwar,Mohammed Rafi
1965,5,Dil Jo Na Keh Saka,Bheegi Raat,Lata Mangeshkar
1965,5,Tumhi Mere Mandir Tumhi Meri Puja,Khandan,Lata Mangeshkar
1965,6,Ek Tu Na Mila,Himalay Ki God Mein,Lata Mangeshkar
1965,8,Tumse Achha Kaun Hai,Janwar,Mohammed Rafi
1965,9,Aji Ruth Kar Ab Kahan Jaiyega,Arzoo,Lata Mangeshkar
1965,9,Waqt Se Din Aur Raat,Waqt,Mohammed Rafi
1965,11,Pardesiyon Se Na Ankhiyan Milana,Jab Jab Phool Khile,Mohammed Rafi
1965,12,Ye Do Deewane Dil Ke,Johar Mehmood In Goa,Mohammed Rafi; Manna Dey
1965,13,Are Yaar Meri Tum Bhi Ho Gazab,Teen Devian,Kishore Kumar; Asha Bhosle
1965,14,Likha Hai Teri Aankhon Mein,Teen Devian,Kishore Kumar; Lata Mangeshkar
1965,15,Chand Si Mehbooba Ho Meri,Himalay Ki God Mein,Mukesh
1965,16,Jaiye Aap Kahan Jayenge,Mere Sanam,Asha Bhosle
1965,17,O Badi Der Bhai Nandlala,Khandan,Mohammed Rafi
1965,18,Ajnabi Tum Jane Pehchane Se Lagte Ho,Hum Sab Ustad Hain,Kishore Kumar
1965,19,Nil Gagan Par Udte Badal,Khandan,Mohammed Rafi; Asha Bhosle
1965,20,Hum Chhod Chale Hain Mehfil Ko,Ji Chahta Hai,Mukesh
1965,22,Hoke Majboor Mujhe Usne Bhulaya Hoga,Haqeeqat,Mohammed Rafi; Talat Mahmood; Manna Dey; Bhupinder Singh
1965,23,Neend Nigahon Ki Kho Jati Hai,Lutera,Lata Mangeshkar
1965,25,Wahan Kaun Hai Tera Musafir,Guide,S.D. Burman
1965,25,Machalti Hui Hawa Mein,Ganga Ki Lehren,Kishore Kumar; Lata Mangeshkar
1965,27,Na Na Karte Pyar Tumhi Se,Jab Jab Phool Khile,Mohammed Rafi; Suman Kalyanpur
1965,28,Khudaya Khudaya Mohabbat Na Hoti,Boxer,Lata Mangeshkar
1965,29,Chalke Teri Aankhon Se Sharab,Arzoo,Mohammed Rafi
1965,29,Jiyo To Aise Jiyo,Bahu Beti,Mohammed Rafi
1965,30,Lagi Manwa Ke Bich Katari,Chitralekha,Manna Dey
1965,31,Maine Dekha Hai Ki Phoolon Se,Waqt,Asha Bhosle; Mahendra Kapoor
1965,32,Tera Husn Rahe Mera Ishq Rahe,Do Dil,Mohammed Rafi
1966,1,Baharon Phool Barsao,Suraj,Mohammed Rafi
1966,2,O Mere Sona Re,Teesri Manzil,Asha Bhosle
